Company Number,Comp Use Susp Fee,Charge Susp Fee Flag,Susp Fee Charge Amt,Description1,Description2
  795,Y,Y,35.00,SOUTH,DUNCAN DISPOSAL - MALOY
  796,Y,N,25.00,HEARTLAND,CWD Commercial Waste Mayfield
  798,Y,Y,35.00,HEARTLAND,CSI Waste Services
  800,Y,Y,35.00,SOUTHEAST,AWS of Atlanta
  802,Y,Y,35.00,SOUTHEAST,AWS of Birmingham
  803,Y,Y,35.00,MID-ATLANTIC,RS of VA - AAA Recycle & Trash
  808,Y,Y,35.00,SOUTHEAST,AWS of Escambia County AL
  810,Y,Y,35.00,SOUTHEAST,AWS of Ponce
  812,Y,Y,35.00,SOUTHEAST,AWS of Puerto Rico - San Juan
  820,Y,Y,35.00,SOUTHEAST,AWS of Baton Rouge
  823,Y,Y,35.00,SOUTHEAST,AWS of Jackson
  825,Y,Y,35.00,MID-ATLANTIC,AWS of Tri-Cities
  832,Y,Y,35.00,SOUTHEAST,AWS of Lake Charles
  833,Y,Y,35.00,SOUTHEAST,AWS of Acadiana
  837,Y,Y,35.00,HEARTLAND,AWS of Memphis
  840,Y,Y,35.00,SOUTHEAST,AWS of Nashville
  841,Y,Y,35.00,SOUTHEAST,AWS of Murfreesboro
  842,Y,Y,35.00,SOUTHEAST,AWS of New Orleans
  843,Y,Y,35.00,SOUTH,AWS of Austin
  845,Y,Y,35.00,SOUTHWEST,Saguaro Environmental Services
  846,N,N,.00,WEST,Solano Garbage Company
  847,Y,Y,35.00,SOUTH,AWS of Corpus Christi
  851,Y,N,20.00,WEST,Richmond Sanitary Services
  853,Y,Y,35.00,SOUTH,AWS of West Houston
  855,Y,Y,35.00,ENERGY SERVICES,AWS of Houston Bay Area
  858,Y,Y,35.00,HEARTLAND,AWS of Little Rock
  859,Y,Y,35.00,SOUTH,AWS of San Antonio
  862,Y,Y,35.00,SOUTH,AWS of Beaumont
  863,Y,Y,35.00,SOUTH,AWS of Rio Grande Valley
  864,Y,Y,35.00,NORTHWEST,AWS of Salt Lake City
  865,N,N,.00,NORTHEAST,Raritan Valley Disposal
  866,Y,Y,35.00,MID-ATLANTIC,RWS of Hilton Head
  867,Y,Y,35.00,MID-ATLANTIC,RWS of Savannah
  868,Y,Y,35.00,SOUTHEAST,AWS of Greenville-Leland
  869,Y,Y,35.00,SOUTHEAST,AWS of Northern Mississippi
  870,Y,Y,35.00,GREAT LAKES,Republic Services of Massillon
  873,N,N,10.00,NORTHEAST,"Marpal Company, Inc."
  884,Y,Y,35.00,NORTHWEST,Allied Waste Services
  886,N,N,.00,NORTHWEST,AWS of Bozeman
  889,N,N,.00,NORTHWEST,AWS of Missoula
  891,N,N,10.00,MIDWEST,Allied Waste - Sauk Rapids
  892,N,N,.00,NORTHWEST,AWS of Billings
  893,N,N,10.00,WEST,"Daly City, CA"
  894,N,N,10.00,MIDWEST,BFI Waste Service Eden Prairie
  897,Y,Y,35.00,MIDWEST,BFI of Dubuque
  899,N,N,10.00,MIDWEST,BFI Waste Services Blaine
  902,Y,Y,35.00,SOUTHWEST,AWS of Gardena
  915,Y,Y,42.40,WEST,AWS of Santa Clara County
