Name,LawsonDiv,DivisionNo,PolygonID,Rate ID,Area,City,State,Link,In Compass,Form Completed,Notes,Checked In,,,
DIV_694_3125_HOA_Western_Estates_MHP_Kokomo_IN.html,3125,694,1179601,3125-694-1179601,A04-Heartland,Bloomington,IN,DIV_694_3125_HOA_Western_Estates_MHP_Kokomo_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3138_HOA_Cardinal_Mounds_Noble_IL.html,3138,694,1204810,3138-694-1204810,A04-Heartland,Noble,IL,DIV_694_3138_HOA_Cardinal_Mounds_Noble_IL.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3138_HOA_Thunderhills_MHP_Vicennes_IN.html,3138,694,1204811,3138-694-1204811,A04-Heartland,Vicennes,IN,DIV_694_3138_HOA_Thunderhills_MHP_Vicennes_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3213_HOA_Lafayette_Square_MHP_Terre_Haute_IN.html,3231,694,1179600,3231-694-1179600,A04-Heartland,Terre Haute,IN,DIV_694_3213_HOA_Lafayette_Square_MHP_Terre_Haute_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_HOA_Central_West_Village_Brazil_IN.html,3231,694,1191833,3231-694-1191833,A04-Heartland,Brazil,IN,DIV_694_3231_HOA_Central_West_Village_Brazil_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_HOA_Latta_MHP_Terre_Haute_IN.html,3231,694,1177142,3231-694-1177142,A04-Heartland,Terre Haute,IN,DIV_694_3231_HOA_Latta_MHP_Terre_Haute_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_HOA_Meadowgreen_Apts_Terre_Haute_IN.html,3231,694,1204808,3231-694-1204808,A04-Heartland,Terre Haute,IN,DIV_694_3231_HOA_Meadowgreen_Apts_Terre_Haute_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_HOA_Ottawa_Park_Greencastle_IN.html,3231,694,1188861,3231-694-1188861,A04-Heartland,Greencastle,IN,DIV_694_3231_HOA_Ottawa_Park_Greencastle_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_HOA_Raintree_Village_Apts_Terre_Haute_IN.html,3231,694,1177145,3231-694-1177145,A04-Heartland,Terre Haute,IN,DIV_694_3231_HOA_Raintree_Village_Apts_Terre_Haute_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_HOA_Van_Bibber_Lakes_Greencastle_IN.html,3231,694,1177139,3231-694-1177139,A04-Heartland,Greencastle,IN,DIV_694_3231_HOA_Van_Bibber_Lakes_Greencastle_IN.html,No - Customer Service Contact Information,6/26/2017,,Yes,,,
DIV_694_3231_HOA_Westminster_Village_Terre_Haute_IN.html,3231,694,1179608,3231-694-1179608,A04-Heartland,Terre Haute,IN,DIV_694_3231_HOA_Westminster_Village_Terre_Haute_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_MUNI_Casey_IL.html,3231,694,1435268,3231-694-1435268,A04-Heartland,Casey,IL,DIV_694_3231_MUNI_Casey_IL.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_MUNI_Farmersburg_IN.html,3231,694,1406614,3231-694-1406614,A04-Heartland,Farmersburg,IN,DIV_694_3231_MUNI_Farmersburg_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_MUNI_Greencastle_IN.html,3231,694,1406613,3231-694-1406613,A04-Heartland,Greencastle,IN,DIV_694_3231_MUNI_Greencastle_IN.html,No - Customer Service Contact Information,N/A,Summary Routed Account,Yes,,,
DIV_694_3231_MUNI_Hutsonville_IL.html,3231,694,1435270,3231-694-1435270,A04-Heartland,Hutsonville,IN,DIV_694_3231_MUNI_Hutsonville_IL.html,No - Customer Service Contact Information,6/26/2017,,Yes,,,
DIV_694_3231_MUNI_Martinsville_IL.html,3231,694,1416088,3231-694-1416088,A04-Heartland,Martinsville,IL,DIV_694_3231_MUNI_Martinsville_IL.html,No - Customer Service Contact Information,6/26/2017,"No Data Entry information for Martinsville, IL (Not to be confused with Martinsville, IN, which is in the same DIV but in a different Lawson)",Yes,,,
DIV_694_3231_MUNI_Robinson_IL.html,3231,694,1435269,3231-694-1435269,A04-Heartland,Robinson,IL,DIV_694_3231_MUNI_Robinson_IL.html,No - Customer Service Contact Information,6/26/2017,"Missing REC rate table (Attn: Lindsey Akers); No Data Entry information for Robinson, IL",Yes,,,
DIV_694_3231_MUNI_Terre_Haute_IN.html,3231,694,1000587,3231-694-1000587,A04-Heartland,Terre Haute,IN,DIV_694_3231_MUNI_Terre_Haute_IN.html,No - Customer Service Contact Information,6/26/2017,,Yes,,,
DIV_694_3231_MUNI_Village_of_West_Salem_IL.html,3231,694,1406498,3231-694-1406498,A04-Heartland,West Salem,IN,DIV_694_3231_MUNI_Village_of_West_Salem_IL.html,No - Customer Service Contact Information,6/26/2017,,Yes,,,
DIV_694_3231_MUNI_West_Terre_Haute_IN.html,3231,694,1000210,3231-694-1000210,A04-Heartland,West Terre Haute,IN,DIV_694_3231_MUNI_West_Terre_Haute_IN.html,No - Customer Service Contact Information,6/26/2017,,Yes,,,
DIV_058_MUNI_Lueders_TX.html,3439,691,1355991,3439-691-1355991,A06-South,Lueders,TX,DIV_058_MUNI_Lueders_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_FRAN_San_Angelo_TX.html,3439,691,1001011,3439-691-1001011,A06-South,San Angelo,TX,DIV_691_FRAN_San_Angelo_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Ballinger_TX.html,3439,691,1001087,3439-691-1001087,A06-South,Ballinger,TX,DIV_691_MUNI_Ballinger_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
DIV_691_MUNI_Bronte_TX.html,3439,691,1001048,3439-691-1001048,A06-South,Bronte,TX,DIV_691_MUNI_Bronte_TX.html,Yes,N/A,Summary Routed Account,Yes,,,
