"Name","LawsonDiv","DivisionNo","PolygonID","Rate ID","Area","TotalLines","In Compass","Form Completed","Notes"
"DIV_803_HOA_Fair_Lakes_Glen_Fairfax_VA.html","3803","803","1007849","3803-803-1007849","A08-Mid_Atlantic","3","Yes",,
"DIV_803_HOA_Fair_Oaks_Glen_Fairfax_VA.html","3803","803","1007850","3803-803-1007850","A08-Mid_Atlantic","3","Yes",,
"DIV_803_HOA_Fair_Oaks_Hill_Fairfax_VA.html","3803","803","1007851","3803-803-1007851","A08-Mid_Atlantic","3","Yes",,
"DIV_803_HOA_Fair_Oaks_Hunt_Fairfax_VA.html","3803","803","1007852","3803-803-1007852","A08-Mid_Atlantic","3","Yes",,
"DIV_803_HOA_Fair_Oaks_Landing_Fairfax_VA.html","3803","803","1007853","3803-803-1007853","A08-Mid_Atlantic","3","Yes",,
"DIV_803_HOA_Fair_Ridge_Fairfax_VA.html","3803","803","1007854","3803-803-1007854","A08-Mid_Atlantic","3","Yes",,
"DIV_803_HOA_Fair_Winds_Oakton_VA.html","3803","803","1007855","3803-803-1007855","A08-Mid_Atlantic","3","Yes",,
"DIV_803_HOA_Faircrest_Centreville_VA.html","3803","803","1007857","3803-803-1007857","A08-Mid_Atlantic","3","Yes",,
"DIV_866_MUNI_Hampton_SC.html","3105","866","1001484","3105-866-1001484","A08-Mid_Atlantic","1","Yes","6/21/2017","Summary Routed Account"
"DIV_866_MUNI_Yemassee_SC.html","3105","866","1000354","3105-866-1000354","A08-Mid_Atlantic","1","Yes","6/21/2017","Summary Routed Account"
"DIV_866_OM_Beaufort_County_and_Lady_Island_SC.html","3105","866","310586603","3105-866-310586603","A08-Mid_Atlantic","1","Yes","6/21/2017","Summary Routed Account"
